sinif,split,orijinal_yol,yeni_yol,dosya_adi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/477/frame_000005.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00000.jpg,real_train_00000.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/471/frame_000000.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00001.jpg,real_train_00001.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/751/frame_000014.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00002.jpg,real_train_00002.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/648/frame_000021.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00003.jpg,real_train_00003.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/413/frame_000004.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00004.jpg,real_train_00004.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/620/frame_000013.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00005.jpg,real_train_00005.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/691/frame_000023.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00006.jpg,real_train_00006.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/744/frame_000013.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00007.jpg,real_train_00007.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/607/frame_000014.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00008.jpg,real_train_00008.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/277/frame_000044.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00009.jpg,real_train_00009.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/886/frame_000019.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00010.jpg,real_train_00010.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/289/frame_000028.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00011.jpg,real_train_00011.jpg
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/178/frame_000019.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deney 1 Frame/Real/train/real_train_00012.jpg,real_train_00012.jpg
