sinif,split,dosya,neden
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/776/frame_000015.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/776/frame_000001.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/456/frame_000021.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/776/frame_000003.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/712/frame_000031.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/722/frame_000006.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/221/frame_000004.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/923/frame_000002.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/567/frame_000004.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/800/frame_000006.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/790/frame_000007.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/648/frame_000015.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/456/frame_000032.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/033/frame_000006.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/491/frame_000004.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/237/frame_000008.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/184/frame_000009.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/647/frame_000000.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/648/frame_000019.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/096/frame_000020.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/712/frame_000014.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/544/frame_000010.jpg,goruntu_okunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/033/frame_000025.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/376/frame_000012.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/254/frame_000010.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/349/frame_000023.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/237/frame_000036.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/427/frame_000000.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/033/frame_000002.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/096/frame_000002.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/221/frame_000030.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/376/frame_000022.jpg,yuz_bulunamadi
Real,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/train/331/frame_000015.jpg,yuz_bulunamadi
Real,val,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/val/824/frame_000009.jpg,yuz_bulunamadi
Real,val,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/val/156/frame_000028.jpg,yuz_bulunamadi
Real,val,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/val/824/frame_000011.jpg,yuz_bulunamadi
Real,val,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/val/551/frame_000011.jpg,yuz_bulunamadi
Real,val,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/val/551/frame_000013.jpg,yuz_bulunamadi
Real,test,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/real_frames/test/686/frame_000014.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_15_03__podium_speech_happy__OY4I7ZU8/frame_000042.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_07_04__exit_phone_room__QKCCFKBT/frame_000014.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_10_19__outside_talking_still_laughing__O2IKR6YM/frame_000030.jpg,yuz_bulunamadi
Fake,train,/content/drive/MyDrive/AISC DeepFake Çalışmaları/FaceForensics_Projesi/fake_frames/train/DeepFakeDetection_28_05__walking_down_street_outside_angry__W3J028UG/frame_000026.jpg,yuz_bulunamadi
