sample_id,source_frame,relative_frame_path,label,split,video_id,frame_stem,face_id,face_id_scope,faces_in_frame,left_eye_detected,right_eye_detected,left_eye_path,right_eye_path,combined_eye_path,debug_path,landmarks_path,left_bbox_x1,left_bbox_y1,left_bbox_x2,left_bbox_y2,right_bbox_x1,right_bbox_y1,right_bbox_x2,right_bbox_y2,combined_bbox_x1,combined_bbox_y1,combined_bbox_x2,combined_bbox_y2,left_eye_width_px,left_eye_height_px,right_eye_width_px,right_eye_height_px,left_iris_landmarks_available,right_iris_landmarks_available,left_iris_visible_estimate,right_iris_visible_estimate,landmark_count,status,error,processing_ms
1b4698ad4ba25cde,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00000.jpg,Fake/test/fake_test_00000.jpg,fake,test,fake_test,fake_test_00000,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00000__face_00.jpg,fake/test/right/fake_test/fake_test_00000__face_00.jpg,fake/test/combined/fake_test/fake_test_00000__face_00.jpg,fake/test/debug/fake_test/fake_test_00000__debug.jpg,fake/test/landmarks/fake_test/fake_test_00000__face_00.npz,443,187,478,202,394,182,426,196,379,178,493,206,35,15,32,14,True,True,True,True,478,ok,,725.83
9053d64151b8fd16,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00001.jpg,Fake/test/fake_test_00001.jpg,fake,test,fake_test,fake_test_00001,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00001__face_00.jpg,fake/test/right/fake_test/fake_test_00001__face_00.jpg,fake/test/combined/fake_test/fake_test_00001__face_00.jpg,fake/test/debug/fake_test/fake_test_00001__debug.jpg,fake/test/landmarks/fake_test/fake_test_00001__face_00.npz,318,106,349,119,275,106,305,120,262,103,362,123,31,13,30,14,True,True,True,True,478,ok,,1402.43
aa3c804d9b49db4b,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00002.jpg,Fake/test/fake_test_00002.jpg,fake,test,fake_test,fake_test_00002,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00002__face_00.jpg,fake/test/right/fake_test/fake_test_00002__face_00.jpg,fake/test/combined/fake_test/fake_test_00002__face_00.jpg,fake/test/debug/fake_test/fake_test_00002__debug.jpg,fake/test/landmarks/fake_test/fake_test_00002__face_00.npz,436,140,467,153,393,137,423,150,380,134,480,156,31,13,30,13,True,True,True,True,478,ok,,169.55
9eb9d9a7aceb76ee,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00003.jpg,Fake/test/fake_test_00003.jpg,fake,test,fake_test,fake_test_00003,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00003__face_00.jpg,fake/test/right/fake_test/fake_test_00003__face_00.jpg,fake/test/combined/fake_test/fake_test_00003__face_00.jpg,fake/test/debug/fake_test/fake_test_00003__debug.jpg,fake/test/landmarks/fake_test/fake_test_00003__face_00.npz,1066,389,1181,440,894,380,1010,431,842,369,1233,451,115,51,116,51,True,True,True,True,478,ok,,155.65
a7095af85c52eb3d,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00004.jpg,Fake/test/fake_test_00004.jpg,fake,test,fake_test,fake_test_00004,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00004__face_00.jpg,fake/test/right/fake_test/fake_test_00004__face_00.jpg,fake/test/combined/fake_test/fake_test_00004__face_00.jpg,fake/test/debug/fake_test/fake_test_00004__debug.jpg,fake/test/landmarks/fake_test/fake_test_00004__face_00.npz,302,135,333,148,257,141,288,155,243,131,347,159,31,13,31,14,True,True,True,True,478,ok,,170.05
f210e8fbc873db57,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00005.jpg,Fake/test/fake_test_00005.jpg,fake,test,fake_test,fake_test_00005,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00005__face_00.jpg,fake/test/right/fake_test/fake_test_00005__face_00.jpg,fake/test/combined/fake_test/fake_test_00005__face_00.jpg,fake/test/debug/fake_test/fake_test_00005__debug.jpg,fake/test/landmarks/fake_test/fake_test_00005__face_00.npz,655,196,714,221,570,201,626,226,544,191,740,231,59,25,56,25,True,True,True,True,478,ok,,159.13
1686671c3a0f63a0,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00006.jpg,Fake/test/fake_test_00006.jpg,fake,test,fake_test,fake_test_00006,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00006__face_00.jpg,fake/test/right/fake_test/fake_test_00006__face_00.jpg,fake/test/combined/fake_test/fake_test_00006__face_00.jpg,fake/test/debug/fake_test/fake_test_00006__debug.jpg,fake/test/landmarks/fake_test/fake_test_00006__face_00.npz,327,143,358,156,283,136,313,150,269,132,372,160,31,13,30,14,True,True,True,True,478,ok,,140.67
16ae14d5240f5e6a,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00007.jpg,Fake/test/fake_test_00007.jpg,fake,test,fake_test,fake_test_00007,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00007__face_00.jpg,fake/test/right/fake_test/fake_test_00007__face_00.jpg,fake/test/combined/fake_test/fake_test_00007__face_00.jpg,fake/test/debug/fake_test/fake_test_00007__debug.jpg,fake/test/landmarks/fake_test/fake_test_00007__face_00.npz,615,283,705,321,490,295,576,332,451,274,744,341,90,38,86,37,True,True,True,True,478,ok,,155.53
28f0b982e68bb682,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00008.jpg,Fake/test/fake_test_00008.jpg,fake,test,fake_test,fake_test_00008,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00008__face_00.jpg,fake/test/right/fake_test/fake_test_00008__face_00.jpg,fake/test/combined/fake_test/fake_test_00008__face_00.jpg,fake/test/debug/fake_test/fake_test_00008__debug.jpg,fake/test/landmarks/fake_test/fake_test_00008__face_00.npz,454,151,489,166,402,150,439,165,386,147,505,169,35,15,37,15,True,True,True,True,478,ok,,129.82
31c7e6eac49191fc,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00009.jpg,Fake/test/fake_test_00009.jpg,fake,test,fake_test,fake_test_00009,0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00009__face_00.jpg,fake/test/right/fake_test/fake_test_00009__face_00.jpg,fake/test/combined/fake_test/fake_test_00009__face_00.jpg,fake/test/debug/fake_test/fake_test_00009__debug.jpg,fake/test/landmarks/fake_test/fake_test_00009__face_00.npz,376,112,411,125,322,107,358,120,306,104,427,128,35,13,36,13,True,True,True,True,478,ok,,141.88
