sample_id,source_video,frame_index,face_index,label,split,status,skip_reason,input_path,input_relative_path,output_path,output_relative_path,input_sha256,output_sha256,run_id,processed_at,input_width,input_height,roi_width,roi_height,face_count,blur_score,eye_landmark_fraction,alignment_applied,alignment_angle_degrees,error_type,error_message,resolved_eyebrow_path,path_exists,training_eyebrow_path
e4925e216ccdd011bba0320729ce45c5eb7ed7f731dfa9128b82452ea936c0ef,,0,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00000.jpg,Fake/test/fake_test_00000.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00000.jpg,fake/test/fake_test_00000.jpg,5d7118a6406dbd3d65488ec298e4f9f4860753118a64e030194431495378d41e,0c10402f97f1c50c42447b89cea4f7d742275f000db1f631ec05103aeb44d48a,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.508238+00:00,854,480,109.0,34.0,1,65.06760416,0.09375,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00000.jpg,True,/content/eyebrow_roi_cache/e4925e216ccdd011bba0320729ce45c5eb7ed7f731dfa9128b82452ea936c0ef.jpg
06d960f5f888c3779bfd6256e5ec40a6e2e52a0cd249cedc71eef94b21ddf219,,1,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00001.jpg,Fake/test/fake_test_00001.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00001.jpg,fake/test/fake_test_00001.jpg,c872ac8b00597c91c5d1644fb0b6f84d3d1f98f153d8525052918e75e4030e0a,7ba74247a54634f1acef6fe6a56571b4c2a20cfc8ea5b901a547008110a63ffa,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.565072+00:00,640,480,97.0,22.0,1,98.5060532,0.0,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00001.jpg,True,/content/eyebrow_roi_cache/06d960f5f888c3779bfd6256e5ec40a6e2e52a0cd249cedc71eef94b21ddf219.jpg
678d8c5c1dbd06780fec3fb7877b0e3acbabdf6c779171f607b40ac114982088,,2,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00002.jpg,Fake/test/fake_test_00002.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00002.jpg,fake/test/fake_test_00002.jpg,5a199c610fc160d076611a41913c3ff712a348bce63feb7c607d07264b78ab09,fce98aba303f6b721fbeec86543251d90cb0d828ac54c7b8f3f1e21a1153b3b3,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.607465+00:00,832,480,98.0,25.0,1,243.49033319,0.09375,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00002.jpg,True,/content/eyebrow_roi_cache/678d8c5c1dbd06780fec3fb7877b0e3acbabdf6c779171f607b40ac114982088.jpg
045f33bf41227388a83fbb414fb5c2ef6db85aa28b3b97b95a85fdbe6844ed08,,3,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00003.jpg,Fake/test/fake_test_00003.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00003.jpg,fake/test/fake_test_00003.jpg,f8f1f444c4c7278fe5b48dd9b9cd2f6d18d874291a40ff2eb014aa4e31792af0,34677545ae79251fb85afab3a892e848c7edcfac0bd4cc58a77da30e7493aba4,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.664813+00:00,1920,1080,371.0,95.0,1,4.94707288,0.0,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00003.jpg,True,/content/eyebrow_roi_cache/045f33bf41227388a83fbb414fb5c2ef6db85aa28b3b97b95a85fdbe6844ed08.jpg
9b88438ea4a8c48b727bcd22be544ab4f3b973ccccc05b163f899be3e0b53721,,5,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00005.jpg,Fake/test/fake_test_00005.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00005.jpg,fake/test/fake_test_00005.jpg,20aafb9e5adc1fa04c057953d9b216ab1fa052ad6049e28436cb7c24484be587,16cb9f940c140d6ae25558e3514bebf388e8dce16fd31ff7f248fdd345e56a4d,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.739534+00:00,1280,720,182.0,48.0,1,42.21216226,0.0,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00005.jpg,True,/content/eyebrow_roi_cache/9b88438ea4a8c48b727bcd22be544ab4f3b973ccccc05b163f899be3e0b53721.jpg
57267a9c31a741d78e4d0b94c454ca06f179f6a0ebeba171aa70d14e917c37a7,,7,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00007.jpg,Fake/test/fake_test_00007.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00007.jpg,fake/test/fake_test_00007.jpg,55f47c3ea2023b6424166ae21dbfad0fd9f0e6bb9e8aab78148e50c7dbf165d6,2566d86ecec3566f5a0e01f9561a6c7a6507df3410e7816efa1607999b0cfc80,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.804642+00:00,1264,720,276.0,80.0,1,25.16386288,0.0625,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00007.jpg,True,/content/eyebrow_roi_cache/57267a9c31a741d78e4d0b94c454ca06f179f6a0ebeba171aa70d14e917c37a7.jpg
5c938f6f8d6ecc64397fb8325fcf846fecd1ef9bad8f5ced48f8b6d0abb1135a,,9,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00009.jpg,Fake/test/fake_test_00009.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00009.jpg,fake/test/fake_test_00009.jpg,69bba25ac7f4df83b99596ecea50ff5e5ab3b2c204cd8d528e0d0837e2446ff2,469a3a2e1cc003f21e029842760e44a65267c3504ba152f918fe9ddc39158ff5,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.889281+00:00,640,480,117.0,35.0,1,42.19445257,0.09375,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00009.jpg,True,/content/eyebrow_roi_cache/5c938f6f8d6ecc64397fb8325fcf846fecd1ef9bad8f5ced48f8b6d0abb1135a.jpg
e5c8412a6dd93e81e6f6e3a7364f99ce77e5001b4f7ea97a7a583e88fbca2d2e,,11,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00011.jpg,Fake/test/fake_test_00011.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00011.jpg,fake/test/fake_test_00011.jpg,4f56fa59f42c70a0e059aa5cc06e157d39b14da1435822e07675705e92e1f307,99db14f05476ede837aa2cbebe206eaf1f28e741ecdff41eb8c5c9dacfe840c2,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:15.961610+00:00,1280,720,326.0,96.0,1,11.97689296,0.0625,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00011.jpg,True,/content/eyebrow_roi_cache/e5c8412a6dd93e81e6f6e3a7364f99ce77e5001b4f7ea97a7a583e88fbca2d2e.jpg
b0bce1e2771859ea975026f5767b3c7d26de148794a062214fb0a0d31d79f285,,13,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00013.jpg,Fake/test/fake_test_00013.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00013.jpg,fake/test/fake_test_00013.jpg,e4e741e0092d487d92d224fd698c6ddddbb470ce9939a30189757383164206fe,71b695ec8b56c04a8d4ee842d34087bc805a70b1e2198625fbc0ec2f4ea8d269,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.025369+00:00,1280,720,246.0,71.0,1,30.36574315,0.125,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00013.jpg,True,/content/eyebrow_roi_cache/b0bce1e2771859ea975026f5767b3c7d26de148794a062214fb0a0d31d79f285.jpg
d31484d99db8bcf4100352e21fcffec9deb23cfeffba8a270b74c2f78f893cdf,,14,0.0,fake,test,success,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00014.jpg,Fake/test/fake_test_00014.jpg,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00014.jpg,fake/test/fake_test_00014.jpg,756250a7868d6991faa0d365320a2148f97a8536243e1a906f2e815854fac889,a1a8548b787ff04da1316995478c3c7b2ff52915f842f338716707e241bdac50,20260806_142915_eyebrow_roi_seed42_b775dfb93f,2026-08-06T14:29:16.067530+00:00,1280,720,154.0,37.0,1,129.6934583,0.0,False,0.0,,,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00014.jpg,True,/content/eyebrow_roi_cache/d31484d99db8bcf4100352e21fcffec9deb23cfeffba8a270b74c2f78f893cdf.jpg
