image_path,relative_path,file_name,class_name,label,split,sample_id,source_video,frame_index,face_index,status,output_sha256,roi_width,roi_height,blur_score,eye_landmark_fraction
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00000.jpg,fake/test/fake_test_00000.jpg,fake_test_00000.jpg,fake,1,test,e4925e216ccdd011bba0320729ce45c5eb7ed7f731dfa9128b82452ea936c0ef,,0,0.0,SUCCESS,0c10402f97f1c50c42447b89cea4f7d742275f000db1f631ec05103aeb44d48a,109.0,34.0,65.06760416,0.09375
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00001.jpg,fake/test/fake_test_00001.jpg,fake_test_00001.jpg,fake,1,test,06d960f5f888c3779bfd6256e5ec40a6e2e52a0cd249cedc71eef94b21ddf219,,1,0.0,SUCCESS,7ba74247a54634f1acef6fe6a56571b4c2a20cfc8ea5b901a547008110a63ffa,97.0,22.0,98.5060532,0.0
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00002.jpg,fake/test/fake_test_00002.jpg,fake_test_00002.jpg,fake,1,test,678d8c5c1dbd06780fec3fb7877b0e3acbabdf6c779171f607b40ac114982088,,2,0.0,SUCCESS,fce98aba303f6b721fbeec86543251d90cb0d828ac54c7b8f3f1e21a1153b3b3,98.0,25.0,243.49033319,0.09375
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00003.jpg,fake/test/fake_test_00003.jpg,fake_test_00003.jpg,fake,1,test,045f33bf41227388a83fbb414fb5c2ef6db85aa28b3b97b95a85fdbe6844ed08,,3,0.0,SUCCESS,34677545ae79251fb85afab3a892e848c7edcfac0bd4cc58a77da30e7493aba4,371.0,95.0,4.94707288,0.0
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00005.jpg,fake/test/fake_test_00005.jpg,fake_test_00005.jpg,fake,1,test,9b88438ea4a8c48b727bcd22be544ab4f3b973ccccc05b163f899be3e0b53721,,5,0.0,SUCCESS,16cb9f940c140d6ae25558e3514bebf388e8dce16fd31ff7f248fdd345e56a4d,182.0,48.0,42.21216226,0.0
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00007.jpg,fake/test/fake_test_00007.jpg,fake_test_00007.jpg,fake,1,test,57267a9c31a741d78e4d0b94c454ca06f179f6a0ebeba171aa70d14e917c37a7,,7,0.0,SUCCESS,2566d86ecec3566f5a0e01f9561a6c7a6507df3410e7816efa1607999b0cfc80,276.0,80.0,25.16386288,0.0625
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00009.jpg,fake/test/fake_test_00009.jpg,fake_test_00009.jpg,fake,1,test,5c938f6f8d6ecc64397fb8325fcf846fecd1ef9bad8f5ced48f8b6d0abb1135a,,9,0.0,SUCCESS,469a3a2e1cc003f21e029842760e44a65267c3504ba152f918fe9ddc39158ff5,117.0,35.0,42.19445257,0.09375
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00011.jpg,fake/test/fake_test_00011.jpg,fake_test_00011.jpg,fake,1,test,e5c8412a6dd93e81e6f6e3a7364f99ce77e5001b4f7ea97a7a583e88fbca2d2e,,11,0.0,SUCCESS,99db14f05476ede837aa2cbebe206eaf1f28e741ecdff41eb8c5c9dacfe840c2,326.0,96.0,11.97689296,0.0625
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00013.jpg,fake/test/fake_test_00013.jpg,fake_test_00013.jpg,fake,1,test,b0bce1e2771859ea975026f5767b3c7d26de148794a062214fb0a0d31d79f285,,13,0.0,SUCCESS,71b695ec8b56c04a8d4ee842d34087bc805a70b1e2198625fbc0ec2f4ea8d269,246.0,71.0,30.36574315,0.125
/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Nazlıcan/Deney 1/Kaş/fake/test/fake_test_00014.jpg,fake/test/fake_test_00014.jpg,fake_test_00014.jpg,fake,1,test,d31484d99db8bcf4100352e21fcffec9deb23cfeffba8a270b74c2f78f893cdf,,14,0.0,SUCCESS,a1a8548b787ff04da1316995478c3c7b2ff52915f842f338716707e241bdac50,154.0,37.0,129.6934583,0.0
