sample_id,path,source_frame,relative_frame_path,class_name,label,split,video_id,metadata_file
real_train_real_train_00000_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00000_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00000.jpg,Real/train/real_train_00000.jpg,real,0,train,real_train_00000,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00001_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00001_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00001.jpg,Real/train/real_train_00001.jpg,real,0,train,real_train_00001,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00002_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00002_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00002.jpg,Real/train/real_train_00002.jpg,real,0,train,real_train_00002,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00004_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00004_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00004.jpg,Real/train/real_train_00004.jpg,real,0,train,real_train_00004,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00005_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00005_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00005.jpg,Real/train/real_train_00005.jpg,real,0,train,real_train_00005,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00006_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00006_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00006.jpg,Real/train/real_train_00006.jpg,real,0,train,real_train_00006,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00007_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00007_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00007.jpg,Real/train/real_train_00007.jpg,real,0,train,real_train_00007,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00008_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00008_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00008.jpg,Real/train/real_train_00008.jpg,real,0,train,real_train_00008,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00009_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00009_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00009.jpg,Real/train/real_train_00009.jpg,real,0,train,real_train_00009,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00010_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00010_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00010.jpg,Real/train/real_train_00010.jpg,real,0,train,real_train_00010,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00011_face00,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00011_face00.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00011.jpg,Real/train/real_train_00011.jpg,real,0,train,real_train_00011,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
real_train_real_train_00011_face01,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/mouth/real_train_real_train_00011_face01.png,/content/drive/MyDrive/AISC Çalışmalar/Deneyler/Deney 1 Frame/Real/train/real_train_00011.jpg,Real/train/real_train_00011.jpg,real,0,train,real_train_00011,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Dilara/Deney 1/Ağız/mouth_roi_output/real/train/metadata.csv
