sample_id,source_frame,relative_frame_path,label,split,video_id,frame_stem,face_id,face_id_scope,faces_in_frame,left_eye_detected,right_eye_detected,left_eye_path,right_eye_path,combined_eye_path,debug_path,landmarks_path,left_bbox_x1,left_bbox_y1,left_bbox_x2,left_bbox_y2,right_bbox_x1,right_bbox_y1,right_bbox_x2,right_bbox_y2,combined_bbox_x1,combined_bbox_y1,combined_bbox_x2,combined_bbox_y2,left_eye_width_px,left_eye_height_px,right_eye_width_px,right_eye_height_px,left_iris_landmarks_available,right_iris_landmarks_available,left_iris_visible_estimate,right_iris_visible_estimate,landmark_count,status,error,processing_ms,canonical_status,resolved_eye_path,canonical_sample_id,original_sample_id
1b4698ad4ba25cde,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00000.jpg,Fake/test/fake_test_00000.jpg,fake,test,fake_test,fake_test_00000,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00000__face_00.jpg,fake/test/right/fake_test/fake_test_00000__face_00.jpg,fake/test/combined/fake_test/fake_test_00000__face_00.jpg,fake/test/debug/fake_test/fake_test_00000__debug.jpg,fake/test/landmarks/fake_test/fake_test_00000__face_00.npz,443.0,187.0,478.0,202.0,394.0,182.0,426.0,196.0,379.0,178.0,493.0,206.0,35.0,15.0,32.0,14.0,True,True,True,True,478,OK,,725.83,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00000__face_00.jpg,1b4698ad4ba25cde,1b4698ad4ba25cde
9053d64151b8fd16,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00001.jpg,Fake/test/fake_test_00001.jpg,fake,test,fake_test,fake_test_00001,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00001__face_00.jpg,fake/test/right/fake_test/fake_test_00001__face_00.jpg,fake/test/combined/fake_test/fake_test_00001__face_00.jpg,fake/test/debug/fake_test/fake_test_00001__debug.jpg,fake/test/landmarks/fake_test/fake_test_00001__face_00.npz,318.0,106.0,349.0,119.0,275.0,106.0,305.0,120.0,262.0,103.0,362.0,123.0,31.0,13.0,30.0,14.0,True,True,True,True,478,OK,,1402.43,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00001__face_00.jpg,9053d64151b8fd16,9053d64151b8fd16
aa3c804d9b49db4b,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00002.jpg,Fake/test/fake_test_00002.jpg,fake,test,fake_test,fake_test_00002,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00002__face_00.jpg,fake/test/right/fake_test/fake_test_00002__face_00.jpg,fake/test/combined/fake_test/fake_test_00002__face_00.jpg,fake/test/debug/fake_test/fake_test_00002__debug.jpg,fake/test/landmarks/fake_test/fake_test_00002__face_00.npz,436.0,140.0,467.0,153.0,393.0,137.0,423.0,150.0,380.0,134.0,480.0,156.0,31.0,13.0,30.0,13.0,True,True,True,True,478,OK,,169.55,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00002__face_00.jpg,aa3c804d9b49db4b,aa3c804d9b49db4b
9eb9d9a7aceb76ee,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00003.jpg,Fake/test/fake_test_00003.jpg,fake,test,fake_test,fake_test_00003,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00003__face_00.jpg,fake/test/right/fake_test/fake_test_00003__face_00.jpg,fake/test/combined/fake_test/fake_test_00003__face_00.jpg,fake/test/debug/fake_test/fake_test_00003__debug.jpg,fake/test/landmarks/fake_test/fake_test_00003__face_00.npz,1066.0,389.0,1181.0,440.0,894.0,380.0,1010.0,431.0,842.0,369.0,1233.0,451.0,115.0,51.0,116.0,51.0,True,True,True,True,478,OK,,155.65,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00003__face_00.jpg,9eb9d9a7aceb76ee,9eb9d9a7aceb76ee
a7095af85c52eb3d,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00004.jpg,Fake/test/fake_test_00004.jpg,fake,test,fake_test,fake_test_00004,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00004__face_00.jpg,fake/test/right/fake_test/fake_test_00004__face_00.jpg,fake/test/combined/fake_test/fake_test_00004__face_00.jpg,fake/test/debug/fake_test/fake_test_00004__debug.jpg,fake/test/landmarks/fake_test/fake_test_00004__face_00.npz,302.0,135.0,333.0,148.0,257.0,141.0,288.0,155.0,243.0,131.0,347.0,159.0,31.0,13.0,31.0,14.0,True,True,True,True,478,OK,,170.05,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00004__face_00.jpg,a7095af85c52eb3d,a7095af85c52eb3d
f210e8fbc873db57,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00005.jpg,Fake/test/fake_test_00005.jpg,fake,test,fake_test,fake_test_00005,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00005__face_00.jpg,fake/test/right/fake_test/fake_test_00005__face_00.jpg,fake/test/combined/fake_test/fake_test_00005__face_00.jpg,fake/test/debug/fake_test/fake_test_00005__debug.jpg,fake/test/landmarks/fake_test/fake_test_00005__face_00.npz,655.0,196.0,714.0,221.0,570.0,201.0,626.0,226.0,544.0,191.0,740.0,231.0,59.0,25.0,56.0,25.0,True,True,True,True,478,OK,,159.13,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00005__face_00.jpg,f210e8fbc873db57,f210e8fbc873db57
1686671c3a0f63a0,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00006.jpg,Fake/test/fake_test_00006.jpg,fake,test,fake_test,fake_test_00006,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00006__face_00.jpg,fake/test/right/fake_test/fake_test_00006__face_00.jpg,fake/test/combined/fake_test/fake_test_00006__face_00.jpg,fake/test/debug/fake_test/fake_test_00006__debug.jpg,fake/test/landmarks/fake_test/fake_test_00006__face_00.npz,327.0,143.0,358.0,156.0,283.0,136.0,313.0,150.0,269.0,132.0,372.0,160.0,31.0,13.0,30.0,14.0,True,True,True,True,478,OK,,140.67,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00006__face_00.jpg,1686671c3a0f63a0,1686671c3a0f63a0
16ae14d5240f5e6a,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00007.jpg,Fake/test/fake_test_00007.jpg,fake,test,fake_test,fake_test_00007,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00007__face_00.jpg,fake/test/right/fake_test/fake_test_00007__face_00.jpg,fake/test/combined/fake_test/fake_test_00007__face_00.jpg,fake/test/debug/fake_test/fake_test_00007__debug.jpg,fake/test/landmarks/fake_test/fake_test_00007__face_00.npz,615.0,283.0,705.0,321.0,490.0,295.0,576.0,332.0,451.0,274.0,744.0,341.0,90.0,38.0,86.0,37.0,True,True,True,True,478,OK,,155.53,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00007__face_00.jpg,16ae14d5240f5e6a,16ae14d5240f5e6a
28f0b982e68bb682,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00008.jpg,Fake/test/fake_test_00008.jpg,fake,test,fake_test,fake_test_00008,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00008__face_00.jpg,fake/test/right/fake_test/fake_test_00008__face_00.jpg,fake/test/combined/fake_test/fake_test_00008__face_00.jpg,fake/test/debug/fake_test/fake_test_00008__debug.jpg,fake/test/landmarks/fake_test/fake_test_00008__face_00.npz,454.0,151.0,489.0,166.0,402.0,150.0,439.0,165.0,386.0,147.0,505.0,169.0,35.0,15.0,37.0,15.0,True,True,True,True,478,OK,,129.82,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00008__face_00.jpg,28f0b982e68bb682,28f0b982e68bb682
31c7e6eac49191fc,/content/drive/.shortcut-targets-by-id/1qDJf3MYGlyKCNCfp7hS82eXp9H8F1Br1/AISC DeepFake Çalışmaları/Deneyler/Deney 1 Frame/Fake/test/fake_test_00009.jpg,Fake/test/fake_test_00009.jpg,fake,test,fake_test,fake_test_00009,0.0,frame_local_detection_order,1,True,True,fake/test/left/fake_test/fake_test_00009__face_00.jpg,fake/test/right/fake_test/fake_test_00009__face_00.jpg,fake/test/combined/fake_test/fake_test_00009__face_00.jpg,fake/test/debug/fake_test/fake_test_00009__debug.jpg,fake/test/landmarks/fake_test/fake_test_00009__face_00.npz,376.0,112.0,411.0,125.0,322.0,107.0,358.0,120.0,306.0,104.0,427.0,128.0,35.0,13.0,36.0,13.0,True,True,True,True,478,OK,,141.88,SUCCESS,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00009__face_00.jpg,31c7e6eac49191fc,31c7e6eac49191fc
